areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,26/04/2022,9054,22011920
overview,United Kingdom,K02000001,25/04/2022,15985,22002866
overview,United Kingdom,K02000001,24/04/2022,14436,21986881
overview,United Kingdom,K02000001,23/04/2022,13085,21972445
overview,United Kingdom,K02000001,22/04/2022,15577,21959360
overview,United Kingdom,K02000001,21/04/2022,18351,21943783
overview,United Kingdom,K02000001,20/04/2022,21351,21925432
overview,United Kingdom,K02000001,19/04/2022,25696,21904081
overview,United Kingdom,K02000001,18/04/2022,25145,21878385
overview,United Kingdom,K02000001,17/04/2022,20103,21853240
overview,United Kingdom,K02000001,16/04/2022,19880,21833137
overview,United Kingdom,K02000001,15/04/2022,21570,21813257
overview,United Kingdom,K02000001,14/04/2022,26561,21791687
overview,United Kingdom,K02000001,13/04/2022,31604,21765126
overview,United Kingdom,K02000001,12/04/2022,33659,21733522
overview,United Kingdom,K02000001,11/04/2022,37298,21699863
overview,United Kingdom,K02000001,10/04/2022,30882,21662565
overview,United Kingdom,K02000001,09/04/2022,27827,21631683
overview,United Kingdom,K02000001,08/04/2022,32875,21603856
overview,United Kingdom,K02000001,07/04/2022,38594,21570981
overview,United Kingdom,K02000001,06/04/2022,44653,21532387
overview,United Kingdom,K02000001,05/04/2022,49028,21487734
overview,United Kingdom,K02000001,04/04/2022,53719,21438706
overview,United Kingdom,K02000001,03/04/2022,42140,21384987
overview,United Kingdom,K02000001,02/04/2022,37561,21342847
overview,United Kingdom,K02000001,01/04/2022,47440,21305286
overview,United Kingdom,K02000001,31/03/2022,54732,21257846
overview,United Kingdom,K02000001,30/03/2022,73606,21203114
overview,United Kingdom,K02000001,29/03/2022,80075,21129508
overview,United Kingdom,K02000001,28/03/2022,92805,21049433
overview,United Kingdom,K02000001,27/03/2022,68288,20956628
overview,United Kingdom,K02000001,26/03/2022,61428,20888340
overview,United Kingdom,K02000001,25/03/2022,72413,20826912
overview,United Kingdom,K02000001,24/03/2022,82847,20754499
overview,United Kingdom,K02000001,23/03/2022,94133,20671652
overview,United Kingdom,K02000001,22/03/2022,99024,20577519
overview,United Kingdom,K02000001,21/03/2022,109274,20478495
overview,United Kingdom,K02000001,20/03/2022,81036,20369221
overview,United Kingdom,K02000001,19/03/2022,67376,20288185
overview,United Kingdom,K02000001,18/03/2022,75242,20220809
overview,United Kingdom,K02000001,17/03/2022,82799,20145567
overview,United Kingdom,K02000001,16/03/2022,91532,20062768
overview,United Kingdom,K02000001,15/03/2022,93572,19971236
overview,United Kingdom,K02000001,14/03/2022,99787,19877664
overview,United Kingdom,K02000001,13/03/2022,75671,19777877
overview,United Kingdom,K02000001,12/03/2022,62006,19702206
overview,United Kingdom,K02000001,11/03/2022,66988,19640200
overview,United Kingdom,K02000001,10/03/2022,70450,19573212
overview,United Kingdom,K02000001,09/03/2022,73461,19502762
overview,United Kingdom,K02000001,08/03/2022,70044,19429301
overview,United Kingdom,K02000001,07/03/2022,68497,19359257
overview,United Kingdom,K02000001,06/03/2022,48985,19290760
overview,United Kingdom,K02000001,05/03/2022,38716,19241775
overview,United Kingdom,K02000001,04/03/2022,41355,19203059
overview,United Kingdom,K02000001,03/03/2022,43701,19161704
overview,United Kingdom,K02000001,02/03/2022,46127,19118003
overview,United Kingdom,K02000001,01/03/2022,44735,19071876
overview,United Kingdom,K02000001,28/02/2022,44595,19027141
overview,United Kingdom,K02000001,27/02/2022,31344,18982546
overview,United Kingdom,K02000001,26/02/2022,25072,18951202
overview,United Kingdom,K02000001,25/02/2022,27813,18926130
overview,United Kingdom,K02000001,24/02/2022,30584,18898317
overview,United Kingdom,K02000001,23/02/2022,36441,18867733
overview,United Kingdom,K02000001,22/02/2022,39114,18831292
overview,United Kingdom,K02000001,21/02/2022,45087,18792178
overview,United Kingdom,K02000001,20/02/2022,37665,18747091
overview,United Kingdom,K02000001,19/02/2022,34641,18709426
overview,United Kingdom,K02000001,18/02/2022,33214,18674785
overview,United Kingdom,K02000001,17/02/2022,44668,18641571
overview,United Kingdom,K02000001,16/02/2022,51514,18596903
overview,United Kingdom,K02000001,15/02/2022,52444,18545389
overview,United Kingdom,K02000001,14/02/2022,54663,18492945
overview,United Kingdom,K02000001,13/02/2022,41721,18438282
overview,United Kingdom,K02000001,12/02/2022,37401,18396561
overview,United Kingdom,K02000001,11/02/2022,44518,18359160
overview,United Kingdom,K02000001,10/02/2022,52248,18314642
overview,United Kingdom,K02000001,09/02/2022,64267,18262394
overview,United Kingdom,K02000001,08/02/2022,69602,18198127
overview,United Kingdom,K02000001,07/02/2022,76442,18128525
overview,United Kingdom,K02000001,06/02/2022,60516,18052083
overview,United Kingdom,K02000001,05/02/2022,52271,17991567
overview,United Kingdom,K02000001,04/02/2022,63160,17939296
overview,United Kingdom,K02000001,03/02/2022,76568,17876136
overview,United Kingdom,K02000001,02/02/2022,88377,17799568
overview,United Kingdom,K02000001,01/02/2022,93729,17711191
overview,United Kingdom,K02000001,31/01/2022,104888,17617462
overview,United Kingdom,K02000001,30/01/2022,87515,17512574
overview,United Kingdom,K02000001,29/01/2022,73466,17425059
overview,United Kingdom,K02000001,28/01/2022,83986,17351593
overview,United Kingdom,K02000001,27/01/2022,96140,17267607
overview,United Kingdom,K02000001,26/01/2022,108633,17171467
overview,United Kingdom,K02000001,25/01/2022,113115,17062834
overview,United Kingdom,K02000001,24/01/2022,127241,16949719
overview,United Kingdom,K02000001,23/01/2022,102309,16822478
overview,United Kingdom,K02000001,22/01/2022,81645,16720169
overview,United Kingdom,K02000001,21/01/2022,91511,16638524
overview,United Kingdom,K02000001,20/01/2022,100228,16547013
overview,United Kingdom,K02000001,19/01/2022,111649,16446785
overview,United Kingdom,K02000001,18/01/2022,118670,16335136
overview,United Kingdom,K02000001,17/01/2022,131379,16216466
overview,United Kingdom,K02000001,16/01/2022,98004,16085087
