areaType,areaName,areaCode,date,newVirusTestsByPublishDate,cumVirusTestsByPublishDate
overview,United Kingdom,K02000001,26/04/2022,329968,508299663
overview,United Kingdom,K02000001,25/04/2022,374661,507949569
overview,United Kingdom,K02000001,24/04/2022,263180,507552696
overview,United Kingdom,K02000001,23/04/2022,244687,507289516
overview,United Kingdom,K02000001,22/04/2022,318151,507044829
overview,United Kingdom,K02000001,21/04/2022,370884,506706828
overview,United Kingdom,K02000001,20/04/2022,351100,506293269
overview,United Kingdom,K02000001,19/04/2022,388234,505920595
overview,United Kingdom,K02000001,18/04/2022,330645,505505330
overview,United Kingdom,K02000001,17/04/2022,253380,505103686
overview,United Kingdom,K02000001,16/04/2022,251112,504850306
overview,United Kingdom,K02000001,15/04/2022,292123,504599194
overview,United Kingdom,K02000001,14/04/2022,378125,504307071
overview,United Kingdom,K02000001,13/04/2022,415654,503905388
overview,United Kingdom,K02000001,12/04/2022,414807,503466404
overview,United Kingdom,K02000001,11/04/2022,463954,503024209
overview,United Kingdom,K02000001,10/04/2022,351412,502530582
overview,United Kingdom,K02000001,09/04/2022,338173,502179170
overview,United Kingdom,K02000001,08/04/2022,432025,501840997
overview,United Kingdom,K02000001,07/04/2022,485879,501381421
overview,United Kingdom,K02000001,06/04/2022,528405,500839124
overview,United Kingdom,K02000001,05/04/2022,540100,500266822
overview,United Kingdom,K02000001,04/04/2022,563343,499690081
overview,United Kingdom,K02000001,03/04/2022,497415,499086771
overview,United Kingdom,K02000001,02/04/2022,428278,498589356
overview,United Kingdom,K02000001,01/04/2022,585806,498161078
overview,United Kingdom,K02000001,31/03/2022,634843,497531750
overview,United Kingdom,K02000001,30/03/2022,718916,496832576
overview,United Kingdom,K02000001,29/03/2022,720239,496070167
overview,United Kingdom,K02000001,28/03/2022,722535,495294424
overview,United Kingdom,K02000001,27/03/2022,632929,494514944
overview,United Kingdom,K02000001,26/03/2022,552604,493882015
overview,United Kingdom,K02000001,25/03/2022,689444,493329411
overview,United Kingdom,K02000001,24/03/2022,736666,492597251
overview,United Kingdom,K02000001,23/03/2022,821356,491772796
overview,United Kingdom,K02000001,22/03/2022,797289,490907367
overview,United Kingdom,K02000001,21/03/2022,793566,490061955
overview,United Kingdom,K02000001,20/03/2022,650171,489207056
overview,United Kingdom,K02000001,19/03/2022,586163,488556885
overview,United Kingdom,K02000001,18/03/2022,713323,487970722
